,data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78
0,Dehejia-Wahba Sample,1,37,11,1,0,1,1,0.0,0.0,9930.046
1,Dehejia-Wahba Sample,1,22,9,0,1,0,1,0.0,0.0,3595.894
2,Dehejia-Wahba Sample,1,30,12,1,0,0,0,0.0,0.0,24909.45
3,Dehejia-Wahba Sample,1,27,11,1,0,0,1,0.0,0.0,7506.146
4,Dehejia-Wahba Sample,1,33,8,1,0,0,1,0.0,0.0,289.7899
5,Dehejia-Wahba Sample,1,22,9,1,0,0,1,0.0,0.0,4056.494
6,Dehejia-Wahba Sample,1,23,12,1,0,0,0,0.0,0.0,0.0
7,Dehejia-Wahba Sample,1,32,11,1,0,0,1,0.0,0.0,8472.158
8,Dehejia-Wahba Sample,1,22,16,1,0,0,0,0.0,0.0,2164.022
9,Dehejia-Wahba Sample,1,33,12,0,0,1,0,0.0,0.0,12418.07
10,Dehejia-Wahba Sample,1,19,9,1,0,0,1,0.0,0.0,8173.908
11,Dehejia-Wahba Sample,1,21,13,1,0,0,0,0.0,0.0,17094.64
12,Dehejia-Wahba Sample,1,18,8,1,0,0,1,0.0,0.0,0.0
13,Dehejia-Wahba Sample,1,27,10,1,0,1,1,0.0,0.0,18739.93
14,Dehejia-Wahba Sample,1,17,7,1,0,0,1,0.0,0.0,3023.879
15,Dehejia-Wahba Sample,1,19,10,1,0,0,1,0.0,0.0,3228.503
16,Dehejia-Wahba Sample,1,27,13,1,0,0,0,0.0,0.0,14581.86
17,Dehejia-Wahba Sample,1,23,10,1,0,0,1,0.0,0.0,7693.4
18,Dehejia-Wahba Sample,1,40,12,1,0,0,0,0.0,0.0,10804.32
19,Dehejia-Wahba Sample,1,26,12,1,0,0,0,0.0,0.0,10747.35
20,Dehejia-Wahba Sample,1,23,11,1,0,0,1,0.0,0.0,0.0
21,Dehejia-Wahba Sample,1,41,14,0,0,0,0,0.0,0.0,5149.501
22,Dehejia-Wahba Sample,1,38,9,0,0,0,1,0.0,0.0,6408.95
23,Dehejia-Wahba Sample,1,24,11,1,0,0,1,0.0,0.0,1991.4
24,Dehejia-Wahba Sample,1,18,10,1,0,0,1,0.0,0.0,11163.17
25,Dehejia-Wahba Sample,1,29,11,1,0,1,1,0.0,0.0,9642.999
26,Dehejia-Wahba Sample,1,25,11,1,0,0,1,0.0,0.0,9897.049
27,Dehejia-Wahba Sample,1,27,10,0,1,0,1,0.0,0.0,11142.87
28,Dehejia-Wahba Sample,1,17,10,1,0,0,1,0.0,0.0,16218.04
29,Dehejia-Wahba Sample,1,24,11,1,0,0,1,0.0,0.0,995.7002
30,Dehejia-Wahba Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
31,Dehejia-Wahba Sample,1,48,4,1,0,0,1,0.0,0.0,6551.592
32,Dehejia-Wahba Sample,1,25,11,1,0,1,1,0.0,0.0,1574.424
33,Dehejia-Wahba Sample,1,20,12,1,0,0,0,0.0,0.0,0.0
34,Dehejia-Wahba Sample,1,25,12,1,0,0,0,0.0,0.0,3191.753
35,Dehejia-Wahba Sample,1,42,14,1,0,0,0,0.0,0.0,20505.93
36,Dehejia-Wahba Sample,1,25,5,1,0,0,1,0.0,0.0,6181.88
37,Dehejia-Wahba Sample,1,23,12,1,0,1,0,0.0,0.0,5911.551
38,Dehejia-Wahba Sample,1,46,8,1,0,1,1,0.0,0.0,3094.156
39,Dehejia-Wahba Sample,1,24,10,1,0,0,1,0.0,0.0,0.0
40,Dehejia-Wahba Sample,1,21,12,1,0,0,0,0.0,0.0,1254.582
41,Dehejia-Wahba Sample,1,19,9,0,0,0,1,0.0,0.0,13188.83
42,Dehejia-Wahba Sample,1,17,8,1,0,0,1,0.0,0.0,8061.485
43,Dehejia-Wahba Sample,1,18,8,0,1,1,1,0.0,0.0,2787.96
44,Dehejia-Wahba Sample,1,20,11,1,0,0,1,0.0,0.0,3972.54
45,Dehejia-Wahba Sample,1,25,11,1,0,1,1,0.0,0.0,0.0
46,Dehejia-Wahba Sample,1,17,8,1,0,0,1,0.0,0.0,0.0
47,Dehejia-Wahba Sample,1,17,9,1,0,0,1,0.0,0.0,0.0
48,Dehejia-Wahba Sample,1,25,5,1,0,0,1,0.0,0.0,12187.41
49,Dehejia-Wahba Sample,1,23,12,1,0,0,0,0.0,0.0,4843.176
50,Dehejia-Wahba Sample,1,28,8,1,0,0,1,0.0,0.0,0.0
51,Dehejia-Wahba Sample,1,31,11,1,0,1,1,0.0,0.0,8087.487
52,Dehejia-Wahba Sample,1,18,11,1,0,0,1,0.0,0.0,0.0
53,Dehejia-Wahba Sample,1,25,12,1,0,0,0,0.0,0.0,2348.973
54,Dehejia-Wahba Sample,1,30,11,1,0,1,1,0.0,0.0,590.7818
55,Dehejia-Wahba Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
56,Dehejia-Wahba Sample,1,37,9,1,0,0,1,0.0,0.0,1067.506
57,Dehejia-Wahba Sample,1,41,4,1,0,1,1,0.0,0.0,7284.986
58,Dehejia-Wahba Sample,1,42,14,1,0,1,0,0.0,0.0,13167.52
59,Dehejia-Wahba Sample,1,22,11,0,0,0,1,0.0,0.0,1048.432
60,Dehejia-Wahba Sample,1,17,8,1,0,0,1,0.0,0.0,0.0
61,Dehejia-Wahba Sample,1,29,8,1,0,0,1,0.0,0.0,1923.938
62,Dehejia-Wahba Sample,1,35,10,1,0,0,1,0.0,0.0,4666.236
63,Dehejia-Wahba Sample,1,27,11,1,0,0,1,0.0,0.0,549.2984
64,Dehejia-Wahba Sample,1,29,4,1,0,0,1,0.0,0.0,762.9146
65,Dehejia-Wahba Sample,1,28,9,1,0,0,1,0.0,0.0,10694.29
66,Dehejia-Wahba Sample,1,27,11,1,0,0,1,0.0,0.0,0.0
67,Dehejia-Wahba Sample,1,23,7,0,0,0,1,0.0,0.0,0.0
68,Dehejia-Wahba Sample,1,45,5,1,0,1,1,0.0,0.0,8546.715
69,Dehejia-Wahba Sample,1,29,13,1,0,0,0,0.0,0.0,7479.656
70,Dehejia-Wahba Sample,1,27,9,1,0,0,1,0.0,0.0,0.0
71,Dehejia-Wahba Sample,1,46,13,1,0,0,0,0.0,0.0,647.2046
72,Dehejia-Wahba Sample,1,18,6,1,0,0,1,0.0,0.0,0.0
73,Dehejia-Wahba Sample,1,25,12,1,0,0,0,0.0,0.0,11965.81
74,Dehejia-Wahba Sample,1,28,15,1,0,0,0,0.0,0.0,9598.541
75,Dehejia-Wahba Sample,1,25,11,0,0,0,1,0.0,0.0,18783.35
76,Dehejia-Wahba Sample,1,22,12,1,0,0,0,0.0,0.0,18678.08
77,Dehejia-Wahba Sample,1,21,9,1,0,0,1,0.0,0.0,0.0
78,Dehejia-Wahba Sample,1,40,11,1,0,0,1,0.0,0.0,23005.6
79,Dehejia-Wahba Sample,1,22,11,1,0,0,1,0.0,0.0,6456.697
80,Dehejia-Wahba Sample,1,25,12,1,0,0,0,0.0,0.0,0.0
81,Dehejia-Wahba Sample,1,18,12,1,0,0,0,0.0,0.0,2321.107
82,Dehejia-Wahba Sample,1,38,12,0,0,0,0,0.0,0.0,4941.849
83,Dehejia-Wahba Sample,1,27,13,1,0,0,0,0.0,0.0,0.0
84,Dehejia-Wahba Sample,1,27,8,1,0,0,1,0.0,0.0,0.0
85,Dehejia-Wahba Sample,1,38,11,1,0,0,1,0.0,0.0,0.0
86,Dehejia-Wahba Sample,1,23,8,0,1,0,1,0.0,0.0,3881.284
87,Dehejia-Wahba Sample,1,26,11,1,0,0,1,0.0,0.0,17230.96
88,Dehejia-Wahba Sample,1,21,12,0,0,0,0,0.0,0.0,8048.603
89,Dehejia-Wahba Sample,1,25,8,1,0,0,1,0.0,0.0,0.0
90,Dehejia-Wahba Sample,1,31,11,1,0,1,1,0.0,0.0,14509.93
91,Dehejia-Wahba Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
92,Dehejia-Wahba Sample,1,25,11,1,0,0,1,0.0,0.0,0.0
93,Dehejia-Wahba Sample,1,21,12,1,0,0,0,0.0,0.0,9983.784
94,Dehejia-Wahba Sample,1,44,11,1,0,0,1,0.0,0.0,0.0
95,Dehejia-Wahba Sample,1,25,12,0,0,0,0,0.0,0.0,5587.503
96,Dehejia-Wahba Sample,1,18,9,1,0,0,1,0.0,0.0,4482.845
97,Dehejia-Wahba Sample,1,42,12,1,0,0,0,0.0,0.0,2456.153
98,Dehejia-Wahba Sample,1,25,10,1,0,0,1,0.0,0.0,0.0
99,Dehejia-Wahba Sample,1,31,9,0,1,0,1,0.0,0.0,26817.6
100,Dehejia-Wahba Sample,1,24,10,1,0,0,1,0.0,0.0,0.0
101,Dehejia-Wahba Sample,1,26,10,1,0,0,1,0.0,0.0,9265.788
102,Dehejia-Wahba Sample,1,25,11,1,0,0,1,0.0,0.0,485.2298
103,Dehejia-Wahba Sample,1,18,11,1,0,0,1,0.0,0.0,4814.627
104,Dehejia-Wahba Sample,1,19,11,1,0,0,1,0.0,0.0,7458.105
105,Dehejia-Wahba Sample,1,43,9,1,0,0,1,0.0,0.0,0.0
106,Dehejia-Wahba Sample,1,27,13,1,0,0,0,0.0,0.0,34099.28
107,Dehejia-Wahba Sample,1,17,9,1,0,0,1,0.0,0.0,1953.268
108,Dehejia-Wahba Sample,1,30,11,1,0,0,1,0.0,0.0,0.0
109,Dehejia-Wahba Sample,1,26,10,1,0,1,1,2027.999,0.0,0.0
110,Dehejia-Wahba Sample,1,20,9,1,0,0,1,6083.994,0.0,8881.665
111,Dehejia-Wahba Sample,1,17,9,0,1,0,1,445.1704,74.34345,6210.67
112,Dehejia-Wahba Sample,1,20,12,1,0,0,0,989.2678,165.2077,0.0
113,Dehejia-Wahba Sample,1,18,11,1,0,0,1,858.2543,214.5636,929.8839
114,Dehejia-Wahba Sample,1,27,12,1,0,1,0,3670.872,334.0493,0.0
115,Dehejia-Wahba Sample,1,21,12,0,0,0,0,3670.872,334.0494,12558.02
116,Dehejia-Wahba Sample,1,27,12,1,0,0,0,2143.413,357.9499,22163.25
117,Dehejia-Wahba Sample,1,20,12,1,0,0,0,0.0,377.5686,1652.637
118,Dehejia-Wahba Sample,1,19,10,1,0,0,1,0.0,385.2741,8124.715
119,Dehejia-Wahba Sample,1,23,12,1,0,0,0,5506.308,501.0741,671.3318
120,Dehejia-Wahba Sample,1,29,14,1,0,0,0,0.0,679.6734,17814.98
